Source Well,Dest Well,Volume,Compound
C10,M11,150,Cpd9_dose3
C11,I09,150,Cpd10_dose1
C12,O14,150,Cpd10_dose3
C13,D18,150,Cpd6_dose2
C14,P16,150,Cpd6_dose4
C15,P05,150,Cpd7_dose2
C16,E01,150,Cpd7_dose4
C17,H10,150,Cpd8_dose2
C18,O16,150,Cpd8_dose4
C19,B09,150,Cpd9_dose2
C20,C12,150,Cpd9_dose4
C21,C10,150,Cpd10_dose2
C22,P21,150,Cpd10_dose4
C23,,150,JUMP2_rep3
C24,C16,150,DMSO
D01,,150,JUMP2_rep2
D02,D10,150,DMSO
D03,M02,150,Cpd6_dose5
D04,F03,150,Cpd6_dose7
D05,A14,150,Cpd7_dose5
D06,G09,150,Cpd7_dose7
D07,J24,150,Cpd8_dose5
D08,E04,150,Cpd8_dose7
D09,A07,150,Cpd9_dose5
D10,J18,150,Cpd9_dose7
D11,F18,150,Cpd10_dose5
D12,G12,150,Cpd10_dose7
D13,C21,150,Cpd6_dose6
D14,K12,150,Cpd6_dose8
D15,I04,150,Cpd7_dose6
D16,C15,150,Cpd7_dose8
D17,K22,150,Cpd8_dose6
D18,F19,150,Cpd8_dose8
D19,E22,150,Cpd9_dose6
D20,I21,150,Cpd9_dose8
D21,A05,150,Cpd10_dose6
D22,M13,150,Cpd10_dose8
D23,,150,JUMP2_rep4
D24,D24,150,DMSO
E01,,150,JUMP3_rep1
E02,E13,150,DMSO
E03,J05,150,Cpd11_dose1
E04,K21,150,Cpd11_dose3
E05,E08,150,Cpd12_dose1
E06,A11,150,Cpd12_dose3
E07,M03,150,Cpd13_dose1
E08,E23,150,Cpd13_dose3
E09,O05,150,Cpd14_dose1
E10,C07,150,Cpd14_dose3
E11,L06,150,Cpd15_dose1
E12,D08,150,Cpd15_dose3
E13,C14,150,Cpd11_dose2
E14,A09,150,Cpd11_dose4
E15,P07,150,Cpd12_dose2
E16,K15,150,Cpd12_dose4
E17,L22,150,Cpd13_dose2
E18,I15,150,Cpd13_dose4
E19,N12,150,Cpd14_dose2
E20,F24,150,Cpd14_dose4
E21,N18,150,Cpd15_dose2
E22,G05,150,Cpd15_dose4
E23,,150,JUMP3_rep3
E24,E19,150,DMSO
F01,,150,JUMP3_rep2
F02,F04,150,DMSO
F03,H01,150,Cpd11_dose5
F04,I24,150,Cpd11_dose7
F05,L24,150,Cpd12_dose5
F06,G22,150,Cpd12_dose7
F07,D02,150,Cpd13_dose5
F08,C06,150,Cpd13_dose7
F09,B15,150,Cpd14_dose5
F10,E21,150,Cpd14_dose7
F11,F16,150,Cpd15_dose5
F12,P09,150,Cpd15_dose7
F13,F10,150,Cpd11_dose6
F14,P17,150,Cpd11_dose8
F15,C18,150,Cpd12_dose6
F16,J04,150,Cpd12_dose8
F17,F20,150,Cpd13_dose6
F18,J09,150,Cpd13_dose8
F19,P01,150,Cpd14_dose6
F20,M23,150,Cpd14_dose8
F21,A20,150,Cpd15_dose6
F22,K19,150,Cpd15_dose8
F23,,150,JUMP3_rep4
F24,F17,150,DMSO
G01,,150,JUMP4_rep1
G02,G08,150,DMSO
G03,E14,150,Cpd16_dose1
G04,B18,150,Cpd16_dose3
G05,K10,150,Cpd17_dose1
G06,P23,150,Cpd17_dose3
G07,H06,150,Cpd18_dose1
G08,C11,150,Cpd18_dose3
G09,C19,150,Cpd19_dose1
G10,O02,150,Cpd19_dose3
G11,J13,150,Cpd20_dose1
G12,B24,150,Cpd20_dose3
G13,D09,150,Cpd16_dose2
G14,J17,150,Cpd16_dose4
G15,J21,150,Cpd17_dose2
G16,B12,150,Cpd17_dose4
G17,I01,150,Cpd18_dose2
G18,K16,150,Cpd18_dose4
G19,A15,150,Cpd19_dose2
G20,P04,150,Cpd19_dose4
G21,D11,150,Cpd20_dose2
G22,H23,150,Cpd20_dose4
G23,,150,JUMP4_rep3
G24,G10,150,DMSO
H01,,150,JUMP4_rep2
H02,H03,150,DMSO
H03,A04,150,Cpd16_dose5
H04,M21,150,Cpd16_dose7
H05,L01,150,Cpd17_dose5
H06,G03,150,Cpd17_dose7
H07,M19,150,Cpd18_dose5
H08,N24,150,Cpd18_dose7
H09,B13,150,Cpd19_dose5
H10,I11,150,Cpd19_dose7
H11,A10,150,Cpd20_dose5
H12,I03,150,Cpd20_dose7
H13,L10,150,Cpd16_dose6
H14,O08,150,Cpd16_dose8
H15,A24,150,Cpd17_dose6
H16,F14,150,Cpd17_dose8
H17,B05,150,Cpd18_dose6
H18,E20,150,Cpd18_dose8
H19,F22,150,Cpd19_dose6
H20,K08,150,Cpd19_dose8
H21,M05,150,Cpd20_dose6
H22,L14,150,Cpd20_dose8
H23,,150,JUMP4_rep4
H24,H12,150,DMSO
I01,,150,JUMP5_rep1
I02,I14,150,DMSO
I03,B06,150,Cpd21_dose1
I04,O11,150,Cpd21_dose3
I05,L04,150,Cpd22_dose1
I06,C20,150,Cpd22_dose3
I07,D06,150,Cpd23_dose1
I08,L03,150,Cpd23_dose3
I09,J20,150,Cpd24_dose1
I10,G01,150,Cpd24_dose3
I11,P24,150,Cpd25_dose1
I12,H07,150,Cpd25_dose3
I13,I20,150,Cpd21_dose2
I14,A23,150,Cpd21_dose4
I15,N07,150,Cpd22_dose2
I16,E16,150,Cpd22_dose4
I17,E18,150,Cpd23_dose2
I18,A01,150,Cpd23_dose4
I19,L05,150,Cpd24_dose2
I20,H24,150,Cpd24_dose4
I21,L08,150,Cpd25_dose2
I22,N13,150,Cpd25_dose4
I23,,150,JUMP5_rep3
I24,I17,150,DMSO
J01,,150,JUMP5_rep2
J02,J02,150,DMSO
J03,N21,150,Cpd21_dose5
J04,L02,150,Cpd21_dose7
J05,B08,150,Cpd22_dose5
J06,P18,150,Cpd22_dose7
J07,J10,150,Cpd23_dose5
J08,K17,150,Cpd23_dose7
J09,E03,150,Cpd24_dose5
J10,N19,150,Cpd24_dose7
J11,B17,150,Cpd25_dose5
J12,E12,150,Cpd25_dose7
J13,C08,150,Cpd21_dose6
J14,E15,150,Cpd21_dose8
J15,A22,150,Cpd22_dose6
J16,I02,150,Cpd22_dose8
J17,F13,150,Cpd23_dose6
J18,M14,150,Cpd23_dose8
J19,C04,150,Cpd24_dose6
J20,P22,150,Cpd24_dose8
J21,K03,150,Cpd25_dose6
J22,G18,150,Cpd25_dose8
J23,,150,JUMP5_rep4
J24,J22,150,DMSO
K01,,150,JUMP6_rep1
K02,K11,150,DMSO
K03,P10,150,Cpd26_dose1
K04,H19,150,Cpd26_dose3
K05,C17,150,Cpd27_dose1
K06,F09,150,Cpd27_dose3
K07,F23,150,Cpd28_dose1
K08,G21,150,Cpd28_dose3
K09,C13,150,Cpd29_dose1
K10,P06,150,Cpd29_dose3
K11,J14,150,Cpd30_dose1
K12,N11,150,Cpd30_dose3
K13,J15,150,Cpd26_dose2
K14,D13,150,Cpd26_dose4
K15,J01,150,Cpd27_dose2
K16,O15,150,Cpd27_dose4
K17,I18,150,Cpd28_dose2
K18,D04,150,Cpd28_dose4
K19,D20,150,Cpd29_dose2
K20,G19,150,Cpd29_dose4
K21,B22,150,Cpd30_dose2
K22,H09,150,Cpd30_dose4
K23,,150,JUMP6_rep3
K24,K20,150,DMSO
L01,,150,JUMP6_rep2
L02,L07,150,DMSO
L03,N04,150,Cpd26_dose5
L04,E17,150,Cpd26_dose7
L05,L11,150,Cpd27_dose5
L06,A03,150,Cpd27_dose7
L07,K02,150,Cpd28_dose5
L08,N14,150,Cpd28_dose7
L09,M10,150,Cpd29_dose5
L10,N02,150,Cpd29_dose7
L11,D21,150,Cpd30_dose5
L12,O03,150,Cpd30_dose7
L13,M06,150,Cpd26_dose6
L14,F02,150,Cpd26_dose8
L15,D14,150,Cpd27_dose6
L16,P13,150,Cpd27_dose8
L17,M07,150,Cpd28_dose6
L18,H05,150,Cpd28_dose8
L19,B16,150,Cpd29_dose6
L20,L12,150,Cpd29_dose8
L21,K18,150,Cpd30_dose6
L22,G06,150,Cpd30_dose8
L23,,150,JUMP6_rep4
L24,L09,150,DMSO
M01,,150,JUMP7_rep1
M02,M01,150,DMSO
M03,A12,150,Cpd31_dose1
M04,D16,150,Cpd31_dose3
M05,M04,150,Cpd32_dose1
M06,P11,150,Cpd32_dose3
M07,E05,150,Cpd33_dose1
M08,F12,150,Cpd33_dose3
M09,D12,150,Cpd34_dose1
M10,G15,150,Cpd34_dose3
M11,K14,150,Cpd35_dose1
M12,H16,150,Cpd35_dose3
M13,F21,150,Cpd31_dose2
M14,P02,150,Cpd31_dose4
M15,N09,150,Cpd32_dose2
M16,E24,150,Cpd32_dose4
M17,N22,150,Cpd33_dose2
M18,B11,150,Cpd33_dose4
M19,L18,150,Cpd34_dose2
M20,F06,150,Cpd34_dose4
M21,G13,150,Cpd35_dose2
M22,F07,150,Cpd35_dose4
M23,,150,JUMP7_rep3
M24,M18,150,DMSO
N01,,150,JUMP7_rep2
N02,N03,150,DMSO
N03,O23,150,Cpd31_dose5
N04,H13,150,Cpd31_dose7
N05,I16,150,Cpd32_dose5
N06,B02,150,Cpd32_dose7
N07,K24,150,Cpd33_dose5
N08,H21,150,Cpd33_dose7
N09,K01,150,Cpd34_dose5
N10,I23,150,Cpd34_dose7
N11,M22,150,Cpd35_dose5
N12,I10,150,Cpd35_dose7
N13,J07,150,Cpd31_dose6
N14,N01,150,Cpd31_dose8
N15,G17,150,Cpd32_dose6
N16,A19,150,Cpd32_dose8
N17,O09,150,Cpd33_dose6
N18,L17,150,Cpd33_dose8
N19,M09,150,Cpd34_dose6
N20,H20,150,Cpd34_dose8
N21,O12,150,Cpd35_dose6
N22,D03,150,Cpd35_dose8
N23,,150,JUMP7_rep4
N24,N23,150,DMSO
O01,,150,JUMP8_rep1
O02,O06,150,DMSO
O03,E02,150,Cpd36_dose1
O04,B03,150,Cpd36_dose3
O05,I08,150,Cpd37_dose1
O06,A18,150,Cpd37_dose3
O07,H17,150,Cpd38_dose1
O08,O20,150,Cpd38_dose3
O09,H11,150,Cpd39_dose1
O10,I13,150,Cpd39_dose3
O11,K05,150,Cpd40_dose1
O12,H14,150,Cpd40_dose3
O13,G24,150,Cpd36_dose2
O14,M16,150,Cpd36_dose4
O15,D23,150,Cpd37_dose2
O16,G02,150,Cpd37_dose4
O17,K23,150,Cpd38_dose2
O18,D05,150,Cpd38_dose4
O19,D19,150,Cpd39_dose2
O20,B21,150,Cpd39_dose4
O21,O22,150,Cpd40_dose2
O22,E10,150,Cpd40_dose4
O23,,150,JUMP8_rep3
O24,O21,150,DMSO
P01,,150,JUMP8_rep2
P02,P08,150,DMSO
P03,K06,150,Cpd36_dose5
P04,F08,150,Cpd36_dose7
P05,K09,150,Cpd37_dose5
P06,H15,150,Cpd37_dose7
P07,I06,150,Cpd38_dose5
P08,G07,150,Cpd38_dose7
P09,K07,150,Cpd39_dose5
P10,L15,150,Cpd39_dose7
P11,N06,150,Cpd40_dose5
P12,I19,150,Cpd40_dose7
P13,P14,150,Cpd36_dose6
P14,O17,150,Cpd36_dose8
P15,L20,150,Cpd37_dose6
P16,O07,150,Cpd37_dose8
P17,B10,150,Cpd38_dose6
P18,J19,150,Cpd38_dose8
P19,O01,150,Cpd39_dose6
P20,G04,150,Cpd39_dose8
P21,C09,150,Cpd40_dose6
P22,B20,150,Cpd40_dose8
P23,,150,JUMP8_rep4
P24,P15,150,DMSO
